2025-02-27 18:45:41.f - M2 [LC:0] Initialized with clock rate 1 ticks/second
2025-02-27 18:45:41.f - M2 [LC:0] Connected to VM 0 on port 10000
2025-02-27 18:45:41.f - M2 [LC:0] Connected to VM 1 on port 10001
2025-02-27 18:45:41.f - M2 [LC:1] Started VM 2 with clock rate 1
2025-02-27 18:45:41.f - M2 [LC:1] Sent message to VM 1
2025-02-27 18:45:42.f - M2 [LC:4] Received message. Queue length: 0
2025-02-27 18:45:43.f - M2 [LC:13] Received message. Queue length: 0
2025-02-27 18:45:44.f - M2 [LC:15] Received message. Queue length: 1
2025-02-27 18:45:45.f - M2 [LC:18] Received message. Queue length: 2
2025-02-27 18:45:46.f - M2 [LC:20] Received message. Queue length: 1
2025-02-27 18:45:47.f - M2 [LC:22] Received message. Queue length: 1
2025-02-27 18:45:48.f - M2 [LC:36] Received message. Queue length: 0
2025-02-27 18:45:49.f - M2 [LC:37] Internal event
2025-02-27 18:45:50.f - M2 [LC:48] Received message. Queue length: 0
2025-02-27 18:45:51.f - M2 [LC:56] Received message. Queue length: 1
2025-02-27 18:45:52.f - M2 [LC:59] Received message. Queue length: 1
2025-02-27 18:45:53.f - M2 [LC:64] Received message. Queue length: 3
2025-02-27 18:45:54.f - M2 [LC:67] Received message. Queue length: 4
2025-02-27 18:45:55.f - M2 [LC:68] Received message. Queue length: 4
2025-02-27 18:45:56.f - M2 [LC:72] Received message. Queue length: 5
2025-02-27 18:45:57.f - M2 [LC:75] Received message. Queue length: 6
2025-02-27 18:45:58.f - M2 [LC:77] Received message. Queue length: 5
2025-02-27 18:45:59.f - M2 [LC:80] Received message. Queue length: 6
2025-02-27 18:46:00.f - M2 [LC:85] Received message. Queue length: 5
2025-02-27 18:46:01.f - M2 [LC:86] Received message. Queue length: 5
2025-02-27 18:46:02.f - M2 [LC:92] Received message. Queue length: 5
2025-02-27 18:46:03.f - M2 [LC:94] Received message. Queue length: 4
2025-02-27 18:46:04.f - M2 [LC:107] Received message. Queue length: 3
2025-02-27 18:46:05.f - M2 [LC:108] Received message. Queue length: 2
2025-02-27 18:46:06.f - M2 [LC:119] Received message. Queue length: 2
2025-02-27 18:46:07.f - M2 [LC:125] Received message. Queue length: 3
2025-02-27 18:46:08.f - M2 [LC:142] Received message. Queue length: 4
2025-02-27 18:46:09.f - M2 [LC:154] Received message. Queue length: 4
2025-02-27 18:46:10.f - M2 [LC:155] Received message. Queue length: 4
2025-02-27 18:46:11.f - M2 [LC:158] Received message. Queue length: 3
2025-02-27 18:46:12.f - M2 [LC:159] Received message. Queue length: 3
2025-02-27 18:46:13.f - M2 [LC:165] Received message. Queue length: 4
2025-02-27 18:46:14.f - M2 [LC:168] Received message. Queue length: 4
2025-02-27 18:46:15.f - M2 [LC:182] Received message. Queue length: 5
2025-02-27 18:46:16.f - M2 [LC:185] Received message. Queue length: 6
2025-02-27 18:46:17.f - M2 [LC:191] Received message. Queue length: 6
2025-02-27 18:46:18.f - M2 [LC:197] Received message. Queue length: 6
2025-02-27 18:46:19.f - M2 [LC:202] Received message. Queue length: 6
2025-02-27 18:46:20.f - M2 [LC:203] Received message. Queue length: 6
2025-02-27 18:46:21.f - M2 [LC:205] Received message. Queue length: 7
2025-02-27 18:46:22.f - M2 [LC:206] Received message. Queue length: 8
2025-02-27 18:46:23.f - M2 [LC:211] Received message. Queue length: 9
2025-02-27 18:46:24.f - M2 [LC:219] Received message. Queue length: 10
2025-02-27 18:46:25.f - M2 [LC:225] Received message. Queue length: 12
2025-02-27 18:46:26.f - M2 [LC:229] Received message. Queue length: 12
2025-02-27 18:46:27.f - M2 [LC:236] Received message. Queue length: 12
2025-02-27 18:46:28.f - M2 [LC:238] Received message. Queue length: 12
2025-02-27 18:46:29.f - M2 [LC:239] Received message. Queue length: 12
2025-02-27 18:46:30.f - M2 [LC:243] Received message. Queue length: 12
2025-02-27 18:46:31.f - M2 [LC:247] Received message. Queue length: 14
2025-02-27 18:46:32.f - M2 [LC:248] Received message. Queue length: 15
2025-02-27 18:46:33.f - M2 [LC:249] Received message. Queue length: 15
2025-02-27 18:46:34.f - M2 [LC:255] Received message. Queue length: 16
2025-02-27 18:46:35.f - M2 [LC:257] Received message. Queue length: 15
2025-02-27 18:46:36.f - M2 [LC:259] Received message. Queue length: 15
2025-02-27 18:46:37.f - M2 [LC:260] Received message. Queue length: 14
2025-02-27 18:46:38.f - M2 [LC:267] Received message. Queue length: 17
2025-02-27 18:46:39.f - M2 [LC:269] Received message. Queue length: 17
2025-02-27 18:46:40.f - M2 [LC:275] Received message. Queue length: 19
2025-02-27 18:46:41.f - M2 [LC:280] Received message. Queue length: 18
2025-02-27 18:46:42.f - M2 [LC:288] Received message. Queue length: 17
2025-02-27 18:46:43.f - M2 [LC:292] Received message. Queue length: 17
2025-02-27 18:46:44.f - M2 [LC:292] Stopped VM 2
