Protocol_Version,Operation,Elapsed_Time
1,encode,4.533299943432212e-05
1,parse,2.362497616559267e-05
1,encode,1.4041957911103964e-05
1,parse,1.270900247618556e-05
1,encode,7.916998583823442e-06
1,parse,7.4169947765767574e-06
1,encode,1.529202563688159e-05
1,parse,1.487502595409751e-05
1,encode,3.0124967452138662e-05
1,parse,2.762500662356615e-05
1,encode,9.874987881630659e-06
1,parse,7.083057425916195e-06
1,encode,3.6624958738684654e-05
1,parse,2.5291985366493464e-05
1,encode,1.6250007320195436e-05
1,parse,1.0499963536858559e-05
1,encode,5.400000372901559e-05
1,parse,1.754198456183076e-05
1,encode,1.1750031262636185e-05
1,parse,1.295894617214799e-05
1,encode,2.62079993262887e-05
1,parse,1.6041973140090704e-05
1,encode,1.4999997802078724e-05
1,parse,1.6250007320195436e-05
1,encode,9.999959729611874e-06
1,parse,7.208960596472025e-06
1,encode,1.129199517890811e-05
1,parse,1.8000020645558834e-05
1,encode,8.417002391070127e-06
1,parse,6.292015314102173e-06
1,encode,5.209003575146198e-06
1,parse,4.500034265220165e-06
1,encode,2.9959017410874367e-05
1,parse,3.541703335940838e-05
1,encode,1.18750031106174e-05
1,parse,1.008401159197092e-05
1,encode,7.959024515002966e-06
1,parse,6.832997314631939e-06
1,encode,9.500014130026102e-06
1,parse,8.790986612439156e-06
1,encode,7.542024832218885e-06
1,parse,6.541959010064602e-06
1,encode,1.5124969650059938e-05
1,parse,1.1708005331456661e-05
1,encode,7.499998901039362e-06
1,parse,6.916990969330072e-06
1,encode,8.959032129496336e-06
1,parse,9.500014130026102e-06
1,encode,9.25001222640276e-06
1,parse,1.1832977179437876e-05
1,encode,4.875008016824722e-06
1,encode,1.958297798410058e-05
1,parse,1.1834024917334318e-05
1,encode,9.66701190918684e-06
1,encode,4.667032044380903e-06
1,parse,5.999987479299307e-06
1,parse,8.041970431804657e-06
